SessionID,ExposureID,TrafficChannel,SessionDuration,Bounced,PagesperSession,AdDate,CreativeID,ExposureID_1,AdFormat,Viewable,WasClicked,Conversion,SpendonExposure,RevenueGenerated,UserID,ExposureID_2,SegmentType,Age,Gender,Income,OperatingSystem,Device,Browser,Location(DMA)
6VY2068AUN,P8602046,Display,69,No,1,21-Feb,C0143,P8602046,Banner,No,No,No,783,0,UGIgu,P8602046,3P Audience,28,Female,64079,iOS,Smartphone,Safari,"Casper, Wyoming"
4BD4J8EL8Z,O3954042,SEO,179,No,1,21-Jan,C0120,O3954042,Banner,Yes,Yes,No,0,0,U508D,O3954042,Custom Audience,36,Female,117154,Android,Tablet,Microsoft Edge,"Casper, Wyoming"
NB5WA5M356,O6219257,SEO,101,No,1,21-Apr,C0084,O6219257,Video,No,No,No,0,0,Uadda,O6219257,Custom Audience,44,Male,110387,iOS,Smartphone,Safari,"Laramie, Wyoming"
RYF1PNYHKW,O9256734,Direct,160,Yes,1,21-Nov,C0050,O9256734,Video,No,No,No,0,0,UeYi3,O9256734,3P Audience,29,Male,66661,iOS,Tablet,Safari,"Cheyenne, Wyoming"
7ICUXLCWY0,P4534766,Paid Search,368,No,4,21-Mar,C0067,P4534766,Carousel,Yes,Yes,Yes,810,404,U9jrj,P4534766,3P Audience,18,Female,58272,Android,Smartphone,Microsoft Edge,"Laramie, Wyoming"
WJ6GYX0WTC,O1723533,Direct,88,No,2,21-Jan,C0111,O1723533,Carousel,No,No,No,0,0,U2mnp,O1723533,1P Audience,46,Male,179843,Android,Smartphone,Microsoft Edge,"Cheyenne, Wyoming"
GS7O9X7DU3,O1817291,Referral,75,No,3,21-Sep,C0106,O1817291,Video,Yes,Yes,No,0,0,UCYoL,O1817291,1P Audience,17,Male,46298,Android,Tablet,Microsoft Edge,"Laramie, Wyoming"
HW2D579741,P3508338,Display,101,No,3,21-Feb,C0074,P3508338,Carousel,Yes,No,No,890,0,UuWMZ,P3508338,1P Audience,38,Male,114721,Windows,Desktop,Microsoft Edge,"Casper, Wyoming"
RSNFLKDAIQ,P4109156,Paid Search,174,Yes,1,21-Oct,C0042,P4109156,Carousel,Yes,No,No,656,0,UrGSH,P4109156,3P Audience,20,Male,48078,Linux,Laptop,Mozilla Firefox,"Cheyenne, Wyoming"
VTCWMLKIGI,O2773324,Direct,114,No,3,21-Dec,C0135,O2773324,Banner,No,No,No,0,0,UgPdD,O2773324,1P Audience,24,Female,57983,Android,Smartphone,Microsoft Edge,"Casper, Wyoming"
