key,ExposureID,TrafficChannel,SessionDuration,Bounced,PagesperSession,AdDate,CreativeID,ExposureID_1,AdFormat,Viewable,WasClicked,Conversion,SpendonExposure,RevenueGenerated,UserID,SegmentType,Age,Gender,Income,OperatingSystem,Device,Browser,city,state
4BD4J8EL8Z,O3954042,SEO,179,No,1,21-Jan,C0120,O3954042,Banner,1,1,0,0,0,U508D,Custom Audience,36,Female,117154,Android,Tablet,Microsoft Edge,Casper,Wyoming
WJ6GYX0WTC,O1723533,Direct,88,No,2,21-Jan,C0111,O1723533,Carousel,0,0,0,0,0,U2mnp,1P Audience,46,Male,179843,Android,Smartphone,Microsoft Edge,Cheyenne,Wyoming
ZM20BK8QZR,P5756855,Display,75,No,1,21-Jan,C0194,P5756855,Banner,1,1,0,879,0,UwFnN,1P Audience,38,Male,111019,iOS,Tablet,Safari,Casper,Wyoming
5B2EEH4FS5,P6589733,Display,151,No,3,21-Jan,C0072,P6589733,Video,1,1,0,375,0,UfJV9,3P Audience,42,Male,101049,Android,Smartphone,Microsoft Edge,Casper,Wyoming
JTQNIVETOT,P1195410,Paid Search,587,No,5,21-Jan,C0035,P1195410,Video,1,1,1,504,749,Uvwjc,1P Audience,25,Female,40265,iOS,Tablet,Safari,Green Bay,Wisconsin
5Q18NSFZ6C,O9130192,SEO,148,No,3,21-Jan,C0232,O9130192,Banner,0,0,0,0,0,UQyXi,1P Audience,51,Male,139381,iOS,Tablet,Safari,Madison,Wisconsin
LXZTIAUIWH,O3881558,Direct,112,No,3,21-Jan,C0101,O3881558,Banner,1,0,0,0,0,U8p9m,Custom Audience,26,Female,66560,Linux,Laptop,Mozilla Firefox,Milwaukee,Wisconsin
DICHR3KMOF,P3115128,Paid Search,492,No,5,21-Jan,C0002,P3115128,Video,1,1,1,390,885,U2vEg,3P Audience,39,Male,100292,Android,Tablet,Microsoft Edge,Madison,Wisconsin
UQ84KG8OLM,P3771374,Paid Search,60,Yes,2,21-Jan,C0183,P3771374,Carousel,1,1,0,573,0,UrGRL,3P Audience,44,Male,88620,macOS,Desktop,Microsoft Edge,Madison,Wisconsin
OLDTG3J0XJ,O7034515,Referral,140,No,2,21-Jan,C0035,O7034515,Carousel,0,0,0,0,0,USlyT,3P Audience,39,Male,89036,Windows,Desktop,Microsoft Edge,Madison,Wisconsin
